,id,location,gender,department,study level,total_duration,most_used_group
3274,5603,1,1.0,12.0,0.0,2155.0,Toolbox
3275,5605,2,1.0,12.0,0.0,8806.0,Lasercutter
3276,5606,2,0.0,9.0,1.0,53007.0,Lasercutter
3277,5608,2,1.0,12.0,0.0,22041.0,Toolbox
3278,5609,2,1.0,8.0,1.0,468484.0,3D-Printer
3279,5610,2,1.0,12.0,0.0,1455.0,Toolbox
3280,5612,2,1.0,12.0,-1.0,6614.0,Toolbox
3281,5614,2,0.0,2.0,1.0,4949.0,Lasercutter
3282,5616,2,1.0,5.0,-1.0,7231.0,Lasercutter
3283,5619,1,0.0,5.0,0.0,160399.0,3D-Printer
3284,5620,2,1.0,5.0,2.0,4461.0,Lasercutter
3285,5623,2,0.0,5.0,0.0,15290.0,Lasercutter
3286,5626,1,1.0,9.0,0.0,22.0,Toolbox
3287,5633,2,1.0,8.0,-1.0,1411.0,Lasercutter
3288,5634,2,1.0,8.0,2.0,1791.0,Lasercutter
3289,5635,2,1.0,12.0,0.0,103408.0,3D-Printer
3290,5636,2,1.0,12.0,0.0,261915.0,Toolbox
3291,5642,2,1.0,12.0,0.0,737.0,Toolbox
3292,5644,1,1.0,4.0,0.0,775462.0,3D-Printer
3293,5645,2,0.0,15.0,1.0,251787.0,Toolbox
3294,5646,1,0.0,2.0,1.0,80607.0,3D-Printer
3295,5647,1,1.0,4.0,0.0,14560.0,Other
3296,5649,2,0.0,2.0,0.0,707399.0,Other
3297,5653,1,0.0,12.0,2.0,90006.0,DLP Printer
3298,5654,2,0.0,13.0,1.0,16727.0,Toolbox
3299,5661,1,1.0,7.0,0.0,2484.0,Toolbox
3300,5664,1,1.0,10.0,1.0,1360297.0,3D-Printer
3301,5665,2,1.0,14.0,0.0,467484.0,3D-Printer
3302,5667,2,1.0,12.0,0.0,112901.0,3D-Printer
3303,5668,2,1.0,10.0,1.0,255177.0,3D-Printer
3304,5669,2,1.0,12.0,0.0,81433.0,3D-Printer
3305,5670,2,0.0,8.0,1.0,11205.0,3D-Printer
3306,5671,2,0.0,8.0,1.0,64441.0,3D-Printer
